date,product_id,product_name,category,price,cost,quantity_sold,marketing_spend,warehouse_cost,conversion_rate,gross_margin,net_margin,net_profit,timestamp
2024-01-15,1001,Смартфон Xiaomi,Электроника,25990,18500,45,12000,3500,0.032,28.8%,18.2%,336750,2024-01-15 14:30:45
2024-01-15,1002,Чайник Bosch,Бытовая техника,12499,8500,28,7500,2200,0.025,31.9%,21.4%,111972,2024-01-15 14:30:45
2024-01-15,1003,Футболка Nike,Одежда,3990,1200,156,8500,1800,0.045,69.8%,59.2%,435240,2024-01-15 14:30:45
2024-01-15,1004,Кофеварка Delonghi,Бытовая техника,45990,28500,18,9500,3200,0.018,38.0%,28.5%,314820,2024-01-15 14:30:45
2024-01-15,1005,Кроссовки Adidas,Обувь,8990,4200,89,11000,2500,0.038,53.3%,41.8%,426410,2024-01-15 14:30:45
2024-01-15,1006,Ноутбук ASUS,Электроника,78990,52000,23,15000,4500,0.021,34.1%,23.6%,620770,2024-01-15 14:30:45
2024-01-15,1007,Пылесос Samsung,Бытовая техника,32990,21500,34,9200,2800,0.028,34.8%,24.9%,390460,2024-01-15 14:30:45
2024-01-15,1008,Джинсы Levi's,Одежда,5990,2500,127,7800,1900,0.042,58.3%,48.1%,443230,2024-01-15 14:30:45
2024-01-15,1009,Микроволновка LG,Бытовая техника,14990,9500,42,6800,2100,0.031,36.6%,26.9%,230580,2024-01-15 14:30:45
2024-01-15,1010,Наушники Sony,Электроника,12990,8500,67,8900,2300,0.036,34.6%,24.8%,300930,2024-01-15 14:30:45
2024-01-15,1011,Чайник обычный,Бытовая техника,450000,3800,3,12000,500,0.002,99.2%,98.9%,1337100,2024-01-15 14:30:45
2024-01-15,1012,Куртка зимняя,Одежда,12990,5500,58,6500,1700,0.027,57.7%,47.4%,434420,2024-01-15 14:30:45
2024-01-15,1013,Мышь компьютерная,Электроника,1990,800,214,4200,900,0.058,59.8%,51.3%,254660,2024-01-15 14:30:45
2024-01-15,1014,Блендер Philips,Бытовая техника,8990,5200,39,5800,1600,0.029,42.2%,32.1%,147810,2024-01-15 14:30:45
2024-01-15,1015,Рюкзак спортивный,Аксессуары,3990,1800,95,5100,1400,0.041,54.9%,44.6%,208050,2024-01-15 14:30:45
2024-01-15,1016,Планшет Samsung,Электроника,45990,31000,26,10800,3300,0.023,32.6%,22.3%,389740,2024-01-15 14:30:45
2024-01-15,1017,Утюг Tefal,Бытовая техника,5990,3500,63,4700,1500,0.035,41.6%,31.5%,156870,2024-01-15 14:30:45
2024-01-15,1018,Фен Babyliss,Красота,5490,2800,78,5200,1600,0.039,49.0%,38.9%,209820,2024-01-15 14:30:45
2024-01-15,1019,Стул офисный,Мебель,8990,4500,24,6200,1900,0.019,49.9%,39.4%,107760,2024-01-15 14:30:45
2024-01-15,1020,Монитор Dell,Электроника,28990,19500,31,8700,2700,0.026,32.7%,22.8%,294190,2024-01-15 14:30:45
2024-01-15,1021,Чайник стеклянный,Бытовая техника,250000,3000,2,15000,400,0.001,98.8%,98.6%,493200,2024-01-15 14:30:45
2024-01-15,1022,Ковер персидский,Дом,25990,12000,15,9800,2200,0.012,53.8%,43.8%,209850,2024-01-15 14:30:45
2024-01-15,1023,Клавиатура Logitech,Электроника,3490,1400,142,3800,1100,0.049,59.9%,50.8%,296980,2024-01-15 14:30:45
2024-01-15,1024,Тостер Moulinex,Бытовая техника,4990,2800,51,4500,1300,0.032,43.9%,33.7%,111690,2024-01-15 14:30:45
2024-01-15,1025,Зонт автоматический,Аксессуары,1990,700,183,2900,800,0.062,64.8%,56.3%,236070,2024-01-15 14:30:45
2024-01-15,1026,Холодильник Bosch,Бытовая техника,89990,62000,12,12800,3800,0.011,31.1%,20.6%,335880,2024-01-15 14:30:45
2024-01-15,1027,Кроссовки Puma,Обувь,5990,2800,104,7200,1800,0.044,53.3%,43.1%,331760,2024-01-15 14:30:45
2024-01-15,1028,Чайник электрический,Бытовая техника,120000,9500,5,18000,600,0.004,92.1%,90.8%,552500,2024-01-15 14:30:45
2024-01-15,1029,Сумка кожаная,Аксессуары,7990,3500,47,5600,1500,0.028,56.2%,46.1%,211130,2024-01-15 14:30:45
2024-01-15,1030,Принтер HP,Электроника,18990,12500,29,6900,2100,0.022,34.1%,24.3%,188210,2024-01-15 14:30:45
2024-01-15,1031,Одеяло пуховое,Дом,12990,6500,38,5400,1600,0.025,50.0%,40.0%,246620,2024-01-15 14:30:45
2024-01-15,1032,Чайник керамический,Бытовая техника,180000,4200,4,20000,700,0.003,97.7%,97.2%,702400,2024-01-15 14:30:45
2024-01-15,1033,Фитнес-браслет,Электроника,3490,1800,156,4800,1200,0.048,48.4%,39.3%,263940,2024-01-15 14:30:45
2024-01-15,1034,Блендер стационарный,Бытовая техника,12990,7500,32,6100,1800,0.024,42.3%,32.4%,175680,2024-01-15 14:30:45
2024-01-15,1035,Джинсы Wrangler,Одежда,4990,2200,118,6700,1700,0.045,55.9%,45.7%,329220,2024-01-15 14:30:45
2024-01-15,1036,Чайник дорогой,Бытовая техника,300000,5000,1,25000,800,0.001,98.3%,98.0%,294200,2024-01-15 14:30:45
2024-01-15,1037,Кресло игровое,Мебель,19990,11000,21,7800,2300,0.016,45.0%,34.8%,188790,2024-01-15 14:30:45
2024-01-15,1038,Умные часы,Электроника,15990,9500,43,7200,2000,0.029,40.6%,30.6%,279070,2024-01-15 14:30:45
2024-01-15,1039,Подушка ортопедическая,Дом,3990,1800,87,3800,1100,0.041,54.9%,45.1%,190530,2024-01-15 14:30:45
2024-01-15,1040,Мультиварка Redmond,Бытовая техника,14990,8500,36,6500,1900,0.027,43.3%,33.3%,233640,2024-01-15 14:30:45
2024-01-15,1041,Чайник премиум,Бытовая техника,450000,6000,2,30000,900,0.001,98.7%,98.4%,882200,2024-01-15 14:30:45
2024-01-15,1042,Куртка демисезонная,Одежда,8990,4200,62,5900,1600,0.033,53.3%,43.3%,297180,2024-01-15 14:30:45
2024-01-15,1043,Внешний аккумулятор,Электроника,2990,1200,198,3500,900,0.067,59.9%,51.3%,354420,2024-01-15 14:30:45
2024-01-15,1044,Кофемолка,Бытовая техника,6990,3800,45,4200,1300,0.032,45.6%,35.6%,143550,2024-01-15 14:30:45
2024-01-15,1045,Перчатки кожаные,Аксессуары,2990,1200,134,2900,800,0.061,59.9%,51.3%,239860,2024-01-15 14:30:45
2024-01-15,1046,Стиральная машина,Бытовая техника,59990,42000,14,9800,3200,0.013,30.0%,19.7%,251860,2024-01-15 14:30:45
2024-01-15,1047,Чайник раритетный,Бытовая техника,200000,3500,3,22000,600,0.002,98.3%,97.9%,588900,2024-01-15 14:30:45
2024-01-15,1048,Смарт-часы Apple,Электроника,45990,32000,19,11200,3400,0.018,30.4%,20.1%,265810,2024-01-15 14:30:45
2024-01-15,1049,Поясная сумка,Аксессуары,2490,900,167,2200,600,0.063,63.9%,55.8%,265530,2024-01-15 14:30:45
2024-01-15,1050,Электрическая зубbrush,Красота,1990,800,189,2600,700,0.064,59.8%,51.8%,224910,2024-01-15 14:30:45
